price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury
1.0,3.0,64.0,0.0,0.0,1.9,3.0,3.0,3+,1889.0,1,0,1,1,0,2
2.0,3.0,168.0,0.0,1.0,1.01,3.0,3.0,2,1350.0,0,0,0,0,0,2
3.0,3.0,72.0,1.0,3.0,9.5,5.0,5.0,3+,3595.0,1,1,1,1,0,2
3.0,2.0,79.0,1.0,0.0,1.7,1.0,1.0,1,1797.0,0,1,0,0,0,2
2.0,0.0,152.0,0.0,1.0,2.6,3.0,2.0,2,2165.0,0,1,0,0,0,2
2.0,3.0,164.0,0.0,1.0,2.2,3.0,4.0,3+,1680.0,0,1,0,0,0,1
1.0,3.0,139.0,0.0,1.0,2.15,2.0,3.0,2,921.0,0,1,0,0,0,0
3.0,1.0,72.0,1.0,3.0,6.44,4.0,5.0,3+,2432.0,1,1,1,1,0,2
2.0,3.0,190.0,0.0,3.0,0.88,2.0,2.0,2,791.0,0,0,0,0,0,1
2.0,3.0,180.0,0.0,1.0,0.72,2.0,2.0,2,706.0,0,0,1,0,0,2
1.0,4.0,157.0,0.0,2.0,0.5,2.0,2.0,1,760.0,0,0,0,0,0,2
1.0,3.0,175.0,0.0,1.0,0.92,3.0,3.0,2,1950.0,1,0,0,0,0,0
1.0,3.0,169.0,0.0,2.0,2.1,4.0,5.0,3+,2249.6,0,0,0,0,0,0
0.0,0.0,153.0,0.0,2.0,0.98,3.0,3.0,3,1296.0,1,0,0,0,0,2
3.0,2.0,99.0,1.0,0.0,0.68,5.0,3.0,0,1753.88,0,0,0,0,0,2
1.0,3.0,136.0,0.0,2.0,2.2,2.0,2.0,1,1232.0,1,0,0,0,0,0
3.0,0.0,132.0,0.0,2.0,1.55,3.0,3.0,3,1800.0,0,1,0,0,0,0
3.0,2.0,121.0,1.0,2.0,7.35,6.0,4.0,3+,2475.0,1,1,1,1,0,0
1.0,3.0,164.0,0.0,3.0,0.5,2.0,2.0,3,635.0,0,0,0,0,0,2
3.0,0.0,74.0,1.0,0.0,0.95,5.0,3.0,0,1301.96,0,0,0,0,0,2
3.0,3.0,121.0,1.0,2.0,16.0,6.0,7.0,3+,4499.0,1,1,1,1,0,0
2.0,3.0,164.0,0.0,3.0,2.5,3.0,3.0,2,1350.0,0,1,0,0,0,1
3.0,3.0,152.0,0.0,3.0,2.3,3.0,3.0,3,1720.0,0,0,1,0,0,0
3.0,3.0,77.0,1.0,1.0,9.5,5.0,5.0,3,4045.76,0,1,0,0,0,2
3.0,3.0,127.0,1.0,2.0,10.8,4.0,4.0,3,200.0,1,1,1,1,0,0
1.0,1.0,169.0,0.0,2.0,1.77,3.0,4.0,3+,1926.4,0,0,1,0,0,2
3.0,3.0,100.0,0.0,1.0,0.22,2.0,2.0,1,550.0,0,0,0,0,1,1
2.0,3.0,168.0,0.0,1.0,1.5,3.0,3.0,3,1700.0,0,1,0,0,0,0
1.0,3.0,77.0,0.0,3.0,5.49,4.0,5.0,3+,3791.2,0,1,0,0,0,0
3.0,3.0,72.0,1.0,2.0,6.0,4.0,5.0,3+,2432.0,0,1,0,0,0,0
2.0,3.0,144.0,0.0,3.0,2.85,3.0,3.0,3,1462.4,0,0,0,0,0,0
0.0,4.0,164.0,0.0,0.0,0.6,2.0,2.0,1,720.0,0,0,0,0,0,2
2.0,1.0,173.0,0.0,1.0,1.85,3.0,3.0,3+,1720.0,0,1,0,0,0,2
0.0,3.0,144.0,0.0,1.0,2.9,4.0,4.0,0,1975.0,0,0,1,0,0,2
1.0,3.0,76.0,0.0,2.0,3.45,4.0,5.0,3+,2360.0,0,1,0,0,0,2
1.0,3.0,152.0,0.0,1.0,1.1,2.0,2.0,2,1160.0,1,0,0,0,0,2
3.0,2.0,102.0,0.0,2.0,0.69,2.0,2.0,1,792.0,0,0,0,0,0,2
1.0,3.0,66.0,0.0,2.0,0.85,2.0,2.0,3+,777.0,1,0,0,0,0,2
3.0,0.0,129.0,0.0,2.0,1.7,3.0,4.0,3,1596.0,0,0,1,1,0,2
1.0,0.0,63.0,0.0,2.0,0.95,3.0,4.0,3,1900.0,0,1,0,0,0,2
3.0,3.0,177.0,0.0,0.0,0.65,3.0,3.0,2,1417.0,0,0,0,0,0,2
0.0,3.0,147.0,0.0,1.0,0.56,2.0,2.0,2,700.0,0,0,0,0,1,2
2.0,3.0,66.0,0.0,3.0,1.85,3.0,4.0,3+,1832.0,1,1,1,1,0,2
3.0,1.0,173.0,0.0,0.0,1.25,3.0,3.0,3,1138.4,0,0,0,1,0,2
3.0,0.0,95.0,1.0,0.0,6.5,4.0,3.0,3,1797.0,1,0,0,1,0,2
3.0,0.0,159.0,0.0,2.0,0.9,3.0,3.0,2,1950.0,0,1,0,1,0,2
1.0,3.0,70.0,0.0,1.0,0.5,3.0,2.0,2,645.0,0,0,0,0,1,2
2.0,4.0,105.0,0.0,1.0,1.2,2.0,2.0,0,76.44,0,0,0,0,0,2
2.0,1.0,107.0,0.0,1.0,3.65,3.0,3.0,2,2030.4,0,0,0,0,0,2
1.0,3.0,107.0,0.0,0.0,0.75,2.0,2.0,2,727.0,0,0,0,0,0,2
3.0,1.0,173.0,0.0,3.0,0.95,2.0,2.0,2,578.0,1,0,0,0,0,2
1.0,4.0,66.0,0.0,1.0,1.5,2.0,2.0,2,1240.0,0,0,0,0,1,2
0.0,3.0,175.0,0.0,2.0,0.86,3.0,4.0,3,1375.0,0,1,0,0,0,0
1.0,3.0,72.0,0.0,3.0,1.4,3.0,3.0,3+,1350.0,0,0,1,0,0,2
1.0,3.0,177.0,0.0,2.0,0.39,3.0,3.0,3+,641.743718,0,0,0,0,0,2
1.0,1.0,175.0,0.0,1.0,0.5,2.0,2.0,1,600.0,0,0,0,0,0,2
1.0,0.0,159.0,0.0,2.0,0.8,3.0,2.0,2,1310.0,0,0,0,1,0,2
1.0,3.0,66.0,0.0,2.0,0.75,2.0,2.0,3,1015.2,0,0,0,0,1,2
